ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_Area,AreaShape_Eccentricity,AreaShape_Solidity,AreaShape_MajorAxisLength,AreaShape_MinorAxisLength,AreaShape_Compactness,AreaShape_FormFactor,AreaShape_Perimeter,AreaShape_ConvexArea,AreaShape_EquivalentDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,cancer_probability,classification,anomaly_score,top_deviations,sample_verdict
1,443.1952380952381,7.70952380952381,210.0,0.8880198080084999,0.9210526315789473,24.420757305744036,11.228791160937352,1.4073165104541845,0.71057220786621,60.94112549695428,228.0,16.351767622932517,9.81106057375951,8.175883811466258,0.0,healthy,-0.4646,"Perimeter, MajorAxisLength, EquivalentDiameter",mildly_abnormal
2,457.4597701149425,18.873563218390803,87.0,0.7748136386076079,0.9666666666666667,13.245386899503906,8.373597260908454,0.9943141114544441,1.0057184027462296,32.97056274847714,90.0,10.524820207108489,6.314892124265093,5.262410103554244,2.6,healthy,-0.5718,"FormFactor, MajorAxisLength, Perimeter",mildly_abnormal
3,377.47957639939483,22.51285930408472,1983.0,0.24821521103999925,0.9565846599131693,51.92677553244581,50.30172258894884,1.2359735159426355,0.8090788249919203,175.49747468305833,2073.0,50.24772648796986,30.14863589278191,25.12386324398493,0.0,healthy,-0.4623,"Eccentricity, FormFactor, MinorAxisLength",mildly_abnormal
4,153.17342715231788,25.320364238410598,2416.0,0.8224613110737096,0.9306625577812019,75.53460489161037,42.96567358871742,1.4745022930441225,0.6781949439600339,211.58073580374358,2596.0,55.46302137532856,33.27781282519713,27.73151068766428,0.0,healthy,-0.4302,"MajorAxisLength, MaximumRadius, EquivalentDiameter",mildly_abnormal
5,4.139455782312925,37.935374149659864,294.0,0.9474225348935922,0.9607843137254902,35.263427287960184,11.283775503280959,1.6880032218812155,0.5924159308686259,78.97056274847714,306.0,19.347672370394786,11.608603422236872,9.673836185197393,0.0,healthy,-0.4774,"MinorAxisLength, EquivalentDiameter, MeanRadius",mildly_abnormal
6,278.5431491294474,41.60219530658592,2642.0,0.3688011001903544,0.8470663674254568,62.68502803153433,58.266256158564914,1.923292056818195,0.5199418343433256,252.6934341759516,3119.0,57.99912824508917,34.7994769470535,28.999564122544584,0.0,healthy,-0.5272,"Eccentricity, MinorAxisLength, Perimeter",mildly_abnormal
7,419.6942321056289,39.95135510771369,1439.0,0.6428816205883862,0.9350227420402859,50.32533400433004,38.5474720778942,1.3177750047636865,0.7588548852308271,154.36753236814712,1539.0,42.804108504603846,25.682465102762308,21.402054252301923,0.0,healthy,-0.4133,"Eccentricity, Compactness, FormFactor",mildly_abnormal
8,58.7001998667555,40.71219187208528,1501.0,0.4023381888509908,0.9721502590673575,45.83365564892462,41.96030451826886,1.1065040039530512,0.9037472945668887,144.46803743153546,1544.0,43.71650210901461,26.229901265408767,21.858251054507306,0.0,healthy,-0.4785,"Eccentricity, FormFactor, Compactness",mildly_abnormal
9,135.0134529147982,49.71748878923767,669.0,0.7199007293345568,0.9356643356643357,35.79323546937731,24.843262989740143,1.247923301373416,0.8013312988862688,102.42640687119285,715.0,29.185565874723483,17.51133952483409,14.592782937361742,0.0,healthy,-0.4646,"FormFactor, MajorAxisLength, Compactness",mildly_abnormal
10,229.4557625145518,54.556461001164145,1718.0,0.868972528149553,0.7953703703703704,70.24231968021478,34.760137434011774,2.37813395093442,0.4204977602742177,226.5868324581534,2160.0,46.76992129408611,28.061952776451665,23.384960647043055,0.0,healthy,-0.4967,"Compactness, Solidity, FormFactor",mildly_abnormal
